Date,Time_UTC,Latitude,Longitude,Altitude,Satellites,Accuracy,SSID,BSSID,Channel,RSSI,Encryption
2025-05-02,12:30:00,40.746756,-74.001139,21.0,6,3,aFORUNtMnI,43:45:EC:D4:D3:59,7,-67,WPA3
2025-05-02,12:30:30,40.748874,-74.002577,34.5,7,1,CLdTZOInlD,23:2E:43:F5:55:C8,5,-70,WPA3
2025-05-02,12:31:00,40.747798,-73.996809,27.7,8,4,bLXWrhlOSI,3D:82:69:C8:BD:92,5,-77,WPA2
2025-05-02,12:31:30,40.746729,-74.0019,33.2,8,7,JVfTp5BFsd,1D:58:FF:03:74:11,7,-38,WPA2
2025-05-02,12:32:00,40.747664,-74.004353,25.0,6,6,Y4meXg7ofV,23:2D:FB:AC:EC:06,10,-44,WEP
2025-05-02,12:32:30,40.753912,-74.002756,34.8,10,1,SzplY1ydt2,AD:26:82:A6:72:51,8,-71,WPA3
2025-05-02,12:33:00,40.751242,-73.998636,34.6,8,7,mrb20zVMZd,8A:44:FF:DD:9B:66,9,-53,WPA2
2025-05-02,12:33:30,40.754605,-74.004981,26.0,9,2,pgVBv1ZqKo,6B:AD:E9:31:8B:7D,1,-72,WPA3
2025-05-02,12:34:00,40.752818,-73.995887,23.3,5,1,g9aHSiCsZ0,2B:70:45:FA:9B:88,1,-55,WEP
2025-05-02,12:34:30,40.750858,-73.99792,32.5,8,3,UXZu5cCjPV,CF:E0:FB:7B:94:09,2,-32,WEP
2025-05-02,12:35:00,40.747229,-74.002747,25.2,10,7,WPT938ol7V,02:1C:7C:47:41:51,3,-45,WEP
2025-05-02,12:35:30,40.745031,-74.004274,32.3,5,4,sdVJ0tTfli,93:81:18:15:00:C1,4,-66,WPA2
2025-05-02,12:36:00,40.754038,-74.003606,32.7,7,1,17yqOMdewu,35:76:BC:6A:59:7E,9,-60,WEP
2025-05-02,12:36:30,40.753012,-73.995493,29.4,8,1,ZLGdnkBjg5,21:44:1E:2B:EF:7A,3,-32,WEP
2025-05-02,12:37:00,40.749119,-74.002348,22.9,7,1,xZG5PDYTQX,BC:CF:5E:48:6F:B2,5,-66,WPA2
2025-05-02,12:37:30,40.754205,-74.0027,22.2,8,5,miTvKhojOY,70:98:3C:E2:A4:6A,10,-62,WPA3
2025-05-02,12:38:00,40.74757,-74.003142,32.1,9,6,syMO26mP4T,EF:FB:40:CC:02:03,7,-66,WPA3
2025-05-02,12:38:30,40.747517,-73.998921,33.0,6,0,GeF3JoixqX,FC:49:0D:1F:AA:DA,6,-37,WPA3
2025-05-02,12:39:00,40.753726,-74.004311,20.8,9,0,eJv9ZdDfoq,86:A9:81:6B:FA:8C,10,-33,WEP
2025-05-02,12:39:30,40.754244,-73.996344,32.9,9,3,uxF50oQvk2,7C:84:A4:A4:2A:B0,7,-49,WPA2
2025-05-02,12:40:00,40.752288,-74.002347,22.6,5,0,GgyKvt8Iq4,B9:98:BF:DD:90:6B,3,-77,WPA2
2025-05-02,12:40:30,40.746961,-73.998667,33.4,9,6,SAHhdwnVoJ,17:15:34:C4:16:8A,8,-47,WPA2
2025-05-02,12:41:00,40.754759,-74.000215,30.7,5,1,ZhCWOwgYMI,35:39:28:9E:31:6A,9,-41,WEP
2025-05-02,12:41:30,40.747754,-74.003907,21.5,8,4,I03Dy6JTdu,35:28:26:C2:7F:D3,9,-79,WEP
2025-05-02,12:42:00,40.751811,-74.004025,31.6,8,0,3NwMkc7unS,99:DB:CA:1E:6B:4B,6,-54,WPA3
2025-05-02,12:42:30,40.75105,-73.996131,26.6,8,0,TzP413eBN9,85:DE:05:14:37:CD,6,-72,WEP
2025-05-02,12:43:00,40.751198,-74.002056,28.8,9,7,K7I4b6gGDy,EC:0A:91:80:63:07,5,-43,WEP
2025-05-02,12:43:30,40.745765,-73.998616,20.5,10,1,NzirT1SjQH,9D:3B:72:48:24:31,5,-62,WPA2
2025-05-02,12:44:00,40.751422,-73.995726,29.0,7,2,eRnPYmad6T,7E:8B:DF:90:72:B8,10,-48,WPA2
2025-05-02,12:44:30,40.751957,-74.00032,21.4,5,0,6pfjPJNUqi,1A:5C:29:B6:07:2A,8,-74,WEP
2025-05-02,12:45:00,40.747313,-73.996794,24.5,5,0,LDb6Nf2wJ7,38:82:7E:6A:F2:7B,2,-62,WPA2
2025-05-02,12:45:30,40.753178,-73.997625,27.8,5,4,5Mt7zJrBGy,4D:39:8A:74:CE:23,5,-45,WPA2
2025-05-02,12:46:00,40.748613,-74.00089,34.8,9,3,WosfDg5Q3S,9E:55:1A:3F:0A:41,5,-32,WEP
2025-05-02,12:46:30,40.745052,-74.001783,24.6,10,6,P73eJfOtZi,36:8B:33:09:4F:0D,1,-73,WPA2
2025-05-02,12:47:00,40.747298,-73.9983,26.6,8,0,pEe2uMl8L7,0E:AE:41:72:F7:54,8,-77,WPA2
2025-05-02,12:47:30,40.751446,-74.001803,21.3,8,1,H3PadBFf4w,62:17:88:67:40:08,3,-66,WPA3
2025-05-02,12:48:00,40.747547,-73.998596,34.7,9,7,5pzT7SbVGO,98:0F:3A:A4:73:C9,5,-56,WPA3
2025-05-02,12:48:30,40.749198,-73.99892,20.5,9,6,Cu0p3M8yQl,38:42:5C:78:B3:51,1,-56,WPA3
2025-05-02,12:49:00,40.753053,-73.998291,33.5,5,7,c5TtShrqHW,2C:A8:4A:B4:20:2F,10,-77,WPA3
2025-05-02,12:49:30,40.745468,-74.0022,25.7,7,7,9WNBlstVDr,8E:0D:E9:CD:97:32,5,-67,WPA2
2025-05-02,12:50:00,40.750915,-74.003532,29.5,6,1,XhrzJcvQuV,9C:C9:80:FD:80:C3,9,-62,WPA2
2025-05-02,12:50:30,40.754904,-74.004706,28.3,6,3,J8SNrk56Aj,9C:B2:F7:E2:03:9C,4,-69,WPA2
2025-05-02,12:51:00,40.751495,-74.001097,26.3,6,2,FBEuZUSXJP,A0:0D:07:59:09:EB,5,-57,WEP
2025-05-02,12:51:30,40.750196,-73.999596,28.4,6,2,vOjfZ2iSYH,7D:19:8A:2A:C4:31,9,-47,WPA3
2025-05-02,12:52:00,40.750725,-74.001329,28.9,7,4,yT7xgR1fpt,0A:E0:E9:70:F3:D6,7,-65,WPA3
2025-05-02,12:52:30,40.749637,-73.997125,31.9,8,4,yStfnkNvJr,6C:C0:12:F2:26:61,5,-33,WPA3
2025-05-02,12:53:00,40.752665,-73.997534,31.1,10,5,Jy1GwFt9Sn,1A:70:3D:DE:69:FA,7,-80,WEP
2025-05-02,12:53:30,40.752042,-74.003803,27.7,10,3,cUO5ZY4PSH,0D:F1:CF:BA:34:89,4,-37,WPA2
2025-05-02,12:54:00,40.754668,-74.004563,29.0,5,6,LlEDFI1Onz,9E:98:F5:1F:22:DC,11,-60,WPA2
2025-05-02,12:54:30,40.753523,-73.996999,31.1,6,1,zaEAcZNYg5,71:31:3E:B5:7A:87,5,-62,WEP
2025-05-02,12:55:00,40.75453,-73.99611,30.9,5,0,pFq6xvLiaJ,1D:B7:0C:4B:85:67,2,-34,WPA3
2025-05-02,12:55:30,40.753473,-73.999436,30.9,7,2,hWkVN3newf,6A:CF:74:A5:94:28,6,-69,WEP
2025-05-02,12:56:00,40.746679,-74.000207,34.6,6,7,Y3k0nWSHBj,0F:97:1C:41:36:C2,6,-78,WEP
2025-05-02,12:56:30,40.745572,-74.004578,28.0,5,5,qetn2jCXsB,28:A8:88:F0:5C:09,5,-75,WPA3
2025-05-02,12:57:00,40.746502,-74.001236,31.8,5,6,sM0Bkf7mCF,57:40:43:4E:19:AC,4,-80,WEP
2025-05-02,12:57:30,40.748417,-74.003497,27.2,10,4,oqtDfV1FOu,32:E9:F3:10:B9:A6,4,-59,WPA2
2025-05-02,12:58:00,40.751338,-74.004415,33.0,8,4,KAMe1ZjYXy,B3:15:3A:82:41:3B,7,-40,WPA3
2025-05-02,12:58:30,40.746543,-73.997045,29.6,10,3,zsZ0GfH4IC,3B:A3:6C:03:8E:5A,6,-68,WEP
2025-05-02,12:59:00,40.752419,-74.001687,21.6,7,6,0iKXnxE1HQ,AB:56:38:92:5D:A4,6,-56,WEP
2025-05-02,12:59:30,40.749701,-74.000292,25.6,9,2,tz0QCdKDxP,F2:A0:06:43:01:51,3,-60,WEP
2025-05-02,13:00:00,40.748348,-73.997163,33.4,8,2,3mnODghuqT,1A:84:71:B5:D5:69,4,-35,WPA2
2025-05-02,13:00:30,40.749471,-74.004421,27.9,7,7,tKIC08bhHz,E4:A4:05:D7:71:36,11,-79,WPA3
2025-05-02,13:01:00,40.749332,-73.997875,24.2,10,4,rv03cO7NlW,9E:E1:00:0F:12:AB,1,-56,WPA2
2025-05-02,13:01:30,40.749637,-73.996139,22.3,9,3,jPcrTWLdZH,08:03:4B:AA:D3:BD,8,-75,WPA2
2025-05-02,13:02:00,40.750967,-74.000365,32.0,5,5,6xHXZhO8uy,A3:F5:5A:AA:4E:9E,11,-66,WEP
